text,class
"Interesting point about the {{@Inherited}} annotation, but the effect seems to be that it's being inherited. Try removing the annotation from {{AbstractDTOBase}} and running the test it should fail without the annotation on the base class. This is on both _master_ and _camel-2.17-x_ branches even though they use different version of jackson.",non_debt
"Never looked into RestResources. Let me check why that works. I suspect something to do with XStream VS Jackson processing Now what I did look into and tested, was user generated DTO . So, for example, if I create a DTO for say Account sObject and then somebody, later on, adds a new, say, a custom field, to Account, the deserialization fails. If the annotation is added to the generated class rather then the base class, deserialization passes.",non_debt
"I ran the test after commenting out the field and it ran without any errors. If the annotation didn't work in the base class, the missing field would have caused the test to fail. BTW, the field does return a non-default {{true}} value when it's present in the class. Try your test by commenting out an existing field from the generated Account DTO. Not sure why that case would be different from when a new Salesforce field is added, but give it a shot.",non_debt
You are right. Its working as expected. Not sure why though :( Please ignore,non_debt
"Salesforce adds fields to even after an API has been released. This needs to be handled in the component by ignoring unknown properties for that type. XStream doesn't support doing this for an single DTO, but it can be done for all types by using It will make it ignore all unknown properties for all inbuilt DTOs as wells user generated ones. But since the XML payload is less popular, hopefully this behavior won't be an issue.",non_debt
Salesforce keeps breaking backward compatibility by adding fields to older API versions,non_debt
Damm in ExpressionType everything is more or less @XmlTransient,non_debt
"Is this really needed? Don't we use ExpressionType in the Spring DSL already? For instance, I just used it in the ExceptionType... Maybe I'm missing something obvious here :)",non_debt
"Yeah sort of, you had to add a new class HandledPredicate to get it in the XSD for the onException. If we need it in other areas as well we have to add new classes there as well. There might be something we can do generally. If not then .. well then we gotta add the needed classes.",non_debt
"Ah, I think I get it. You'd like to have a reusable JAXB class for creating an expression in an element, like: instead of including say the expression type directly Make sense?",non_debt
I just committed a fix for this. Now to get something like this You need to add this to your model class:,non_debt
Closing 1.5 issues,non_debt
,non_debt
ExpressionType is missing in Spring DSL,non_debt
Looks like in master the spring version for spring-dm is already extended and a separate spring-dm module is extracted. So I think it makes sense to limit the camel-cxf spring version to reflect the camel-spring limitations like you propose in the description. For later camel version we then seem to have a path to work with higher spring versions.,non_debt
"[Camel-cxf] the spring version range in the Import-Package should be [3.2,4)",non_debt
Patch replaced with the one based on the latest svn revision.,non_debt
Applied patch with thanks to Balazs. Also updated the wiki page.,non_debt
Closing 2.0m1 tickets,non_debt
"Imagine a use case when the target systems, where http messages have to be sent to, are maintained in a database. In that case the http uri is cannot be set in the camelcontext but it should come from the header of the message. So the http client should check first if there is an uri in the header and if not than use the one given in the camelcontext (like for querystring).",non_debt
camel http Uri from the message header,non_debt
Thanks for the PR,non_debt
"If a custom configuration for the ThreadPool is passed, the correspondent JMX object is not published. The issue here is that enableJmx(), that adds the mbeans listeners is called only after setThread method, so this explains how come the threadpool is not exposed on JMX. I've put a simple PR that just adds a check for {{enableJmx}} flag at component level, but I wonder if I should make it smarter to take in account possible settings only at Endpoint level or instead if we should remove it the flag per Endpoint altogether.",non_debt
[Jetty] missing jmx object if custom thread pool is used,non_debt
Thanks for the PR :-),non_debt
At the moment the RabbitMQ component is does not map the timestamp of a message appropriately. The outbound mapping (producer) expects the timestamp of the camel message is of type String whereas the String is just the long value representing the timestamp. However the timestamp is already a java.util.Date when the producer just forwards a message from a rabbitmq consumer as the timestamp is already a java.util.date as define in The provided pull request provides a compatible change. So it still keeps the old behaviour as fallback so that the long value is evaluated if the provided data is not a java.util.Date,non_debt
Camel RabbitMQ invalid handling of message timestamp,non_debt
"Nicola, I wonder if you get these errors also?",non_debt
I missed it. Checking now.,non_debt
no problems with these tests now.,non_debt
CamelNagiosTest CamelJiraTest fails locally if you run them in,non_debt
itest-spring-boot - Nagios and Jira fails locally,non_debt
Thanks for the PR,non_debt
"Instead of selecting implementation method, {{bridge method}} is used. We faced an issue with conversion of parameter when {{bean}} implements generic interface. For example having {{bean}} implementation like this: would lead to {{beanInfo}} containing {{Method}} with signature in {{methodMap}} This is not correct as conversion of parameter is not possible in this case. I could find an issue with the same problem that was previously fixed (CAMEL-8940), but later on it was broken with CAMEL-9656 (commit 5639b78).",non_debt
BeanInfo#introspect does not work correctly with bridge methods,non_debt
"Poms are auto-generated in the starters. We should remove the ""add dependency"" logic from the maven plugin and allow custom edits to the starter poms. Additional dependencies should be declared in the poms, as well as test dependencies.",non_debt
camel-xxx-starter - Allow custom changes to the pom.xml files,non_debt
A github PR is welcome,non_debt
Since release 2.18 MongoDB component does not return a header with key constant) after completing operations update and delete. This is a breaking change but can easily be patched in MongoDbProducer class. It's probably more a bug report rather than feature request depending on if the change was by design.,non_debt
Return header with key from update and remove operations,non_debt
Thanks for detailed description. I'll have a look at the end of this week.,non_debt
"The problem is field. Or rather the fact that it's not set in All JUnit tests (extending from by default use which returns {{true}}. When you simply do {{mvn clean test}}, neither {{target/classes}} nor contain file which is necessary to treat the location as ""bundle"" to be picked up in That's why in JUnit tests, explicit bundle is created using Only this method does the ""initial configadmin file"" trick (see for details). When running using {{mvn clean camel:run}} you'll simply get Gave up waiting for service because no ""bundle"" provides your blueprint XML descriptor. You need at least {{mvn clean package camel:run}}, so you have these ""bundles"" installed by felix-connect (a bundle with blueprint descriptor is #1): When running under JUnit, you have (a bundle with blueprint descriptor is #0): If both was {{true}} and we used {{mvn package}}, we'd have *two* bundles with blueprint descriptor. Manifest from (created by Manifest from (created by This is a reason of some problems we had when running JUnit tests *after* {{mvn ... package}}. So the solution should be to perform the ""initial configadmin file"" trick when running with {{mvn camel:run}} and without {{camel:run}} should pick up a bundle containing blueprint descriptor which was created by {{mvn package}} Also we should prevent using two bundles containing the same descriptors. I already have an idea.",non_debt
"Because {{mvn camel:run}} is *not* a test, for such scenarios, should always equal to {{false}}. That's why I'll separate ""test bundle"" and a ""trick bundle"" that initializes configadmin before running blueprint.",non_debt
"Ah, one more thing. creates TinyBundle without header. Thus explicitly uses: which eventually translates to And because {{mvn camel:run}} doesn't set setting {{descriptors}} or doesn't make sense with {{<useBlueprint>}} == {{true}}.",non_debt
Fixed in: * * * * There were already and but all of them explicitly used: Now I've added which calls,non_debt
configAdminFile not used to populate property placeholders in when run via camel-maven-plugin,non_debt
This upgrade frequently causes CrossRef:,non_debt
jruby is deprecated so lets leave it as-is,non_debt
"Upgrade {{jruby}} to {{v1.7.26}} Note: this requires to explicitly set in test, while in used in multithread envs.",non_debt
[jruby] Upgrade to 1.7.26,non_debt
"By default, JGit behaves differently than native git allowing empty commits. This first change is to add a new option to the GitEndpoint to be able to turn that option to false. I let it default to ""true"" in a first move to have backward compatibility but suggest we could default to ""false"" to match native git behaviour (git commit --allow-empty) This will raise an exception for empty commits, may be a silent mode to log warn would be a better option rather than doing error handling in camel.",non_debt
Camel-Git: Add allowEmpty commits option,non_debt
We dont need a JIRA for internal refactorings like this.,non_debt
Make TypeReference inline anonymous classes constant,non_debt
Thanks for the PR,non_debt
,non_debt
,non_debt
camel-hazelcast: add an option to provide a custom configuration (custom Config object or configuration file location),non_debt
Commits related to this issue break wildfly-camel integration CrossRef:,non_debt
"this may be expected as you now need to register the POJOs you want to de-serialize, test have been updated too. ping me if you need any help",non_debt
,non_debt
snakeyaml: add an option to filter classes the yaml parser can construct,non_debt
Done for - camel-core - a..s components,non_debt
We have fine grained details on each endpoint options. But the component options dont have @UriParam etc and are therefore often not labeled or have secure = true|false. We should add those using @Metadata annotation on the component level so we have that for the component docs and for tooling,non_debt
Add labels to component level options,non_debt
This is a bit tricker as its EIP configuration. But it would be good to do this for other things like error handler etc.,non_debt
Should we do the same for ServiceCall ? I can work on both later on if needed,non_debt
Yeah that would be good too,non_debt
question: should any additional custom conf inherit from the default ? i.e. : So the conf on the route inherit from myconf which inherit from the deault one.,non_debt
My initial thought would be yes. What do you think? Or how does it work today?,non_debt
"I do not remember such a hierarchy, as far as I remember it stops on the first parent but make sense to have such inheritance possible",non_debt
"It would be nice if we could allow to configure camel-hystrix and ServiceCall using spring boot auto configuration, eg from the / yml file. Then you can easily set a global configured timeout, and those other hystrix configurations. And with this we get tooling support which can show documentation at your finger tips. This should be global configuration, which you can override in your camel routes if you setup a local hystrix configuration there.",non_debt
Hystrix / ServiceCall - Allow to configure global configuration,non_debt
Transformer registry JMX,non_debt
Commited by CAMEL-1112 Sending Sending Adding Sending Transmitting file data ..... Committed revision 721719.,non_debt
Closing 2.0m1 tickets,non_debt
We have some URI options to set some regexp for filtering files. But good old java.io.FileFilter should be there as well for end-users to use. And also add an option for using Camel predicate's for filtering file names. This only applies for the file consumer of course.,non_debt
file component - option to set a ref for a java.io.FileFilter,non_debt
Closing 2.0m1 tickets,non_debt
I must use if Instead of if { As the latter always returns false. Or at least returns false even though the size is > 0,non_debt
#NAME?,non_debt
"There is a check in the that checks if the configured version is at least 34.0, this check wrongly reports an error if the version is configured exactly at 34.0.",non_debt
Salesforce Composite API wrongly checks for minimum supported version,non_debt
See nabble,non_debt
,non_debt
camel-ahc - Upgrade to newer version,non_debt
Thx,non_debt
A we have now it would be nice to have a RxJava 2 implementation of the API,non_debt
Create camel-rxjava2 component,non_debt
There is a RuntimeCamelCatalog now in camel-core that has validation API based on the components that are on the classpath.,non_debt
,non_debt
PingCheck API : Support validation through JMX,non_debt
Jakub I granted your user karma to self assign tickets. There is some more comments on the PR before its ready. But great work and good to see your contribute source code to Camel as well,non_debt
Add implementation that uses a Kafka topic as a log.,non_debt
Add Kafka topic-based,non_debt
Are you working on a PR?,non_debt
"Yep - just testing some mods now, so will hopefully have a PR ready soon. I'll assign this issue to myself.",non_debt
Enable camel-docker configuration to accept a custom,non_debt
Thanks for the PR,non_debt
"An extra white space in blueprint xml (e.g. {{<to uri="" sql:select * from eng""/ while spring throws relevant exception",non_debt
Fail early and show meaningful log for invalid endpoint URI in Blueprint,non_debt
we need a SMX bundle of this new version also,non_debt
Already done Need to wait for the end of the month.,non_debt
,non_debt
camel-kafka - Upgrade to 0.10.2.0,non_debt
You are welcome to work on a github PR,non_debt
Thanks . I've started working on a patch. Can this issue be assigned to me?,non_debt
Kieran sounds good. You cannot assign ticket as that is for committers and users whom have contribured more patches. Its fine with a comment here that you work on this. Lets us know how it goes,non_debt
Merged to master from,non_debt
"When using WsImport, the structure of the generated Exception class for SOAP Faults have only a two arg constructor generated ie: However in the code is trying to get a reference to the single argument constructor, before it tries to find/use the two argument constructor, which would cause a to be thrown as no such constructor exits on the class. The solution is to move the variable inside the catch block. So we try to get/use the two arg constructor and if that fails then we try to get/use the single argument constructor, which is the real logic of that try/catch block anyway.",non_debt
throwing exception when using JAXB/JAX-WS generated code,non_debt
Will be fixed in a patch for other issues,non_debt
I have also added httpClient.XXX options configuration of camel-jetty as well,non_debt
Closing 2.0m1 tickets,non_debt
camel-http - does not remove httpClient.xxx URI options,non_debt
Use the user forum or user mailing list to ask for help,non_debt
Already put on user mailing list,non_debt
and don't open the same issue two times.,non_debt
Performance issue in camel sftp,non_debt
I had sort of planned to do some refactorings of the file consumer in 2.0 so it would gather the list of files to consume before consuming. This would allow to resort the list based on certain out-of-the-box settings and of course also allow end users to provide their own sorting implementation. And also filter and finnaly to have a headers with total number of files and the current file number. In summary: - sorting - filtering - headers with index and total number of files,non_debt
The new idempotent options is CAMEL-1099,non_debt
Revision #721798 Committed by davsclaus at 30-11-08 12:36:04 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy),non_debt
Revision #721801 Committed by davsclaus at 30-11-08 12:53:27 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy),non_debt
Closing 2.0m1 tickets,non_debt
add orderby to file/ftp/sftp component to get files in a reliable order (e.g. created date),non_debt
#NAME?,non_debt
"We may generate something like: Then the spring boot auto-configuration would: - register and configure the component with ``component-name`` component as usual - register and configure number of bean according to the configuration map of the same type of the ``component-name`` but registered with a different name so that they can be referenced by name as usual but with properties inherited from component-name (or maybe not) Of course the drawback is that the [my-component] won't get auto-completed y IDEs but this solution would give a good flexibility and you can get the name of the supported parameters, theirs default and the doc from the root configuration.",non_debt
It may be useful to look again at the old CAMEL-10031.,non_debt
Taken to do some experiments,non_debt
Camel connectors - Allow to configure in one place and let it figure out component vs endpoint level,non_debt
Closing 2.0m1 tickets,non_debt
This could be bad if 3-SNAPSHOT ever gets removed (the build will break). ServiceMix has a version of commons-csv without this SNAPSHOT dependency. I'm going to try switching to that one.,non_debt
commons-csv contains SNAPHSOT dependency,non_debt
Camel components should extend DefaultComponent,non_debt
This is also a problem with camel-jetty,non_debt
"Camel does not generating the options answer for all routes defined using component servlet, ex: For /v1/customers the request OPTIONS return 200 OK but for /v1/customers/1 the request OPTIONS return 404 not found.",non_debt
Camel Rest DSL Does Not Creating OPTIONS routes for defined routes,non_debt
See test case,non_debt
See thread:,non_debt
JMSXGroupID is not copied across ActiveMQ endpoints,non_debt
This is *fixed in 2.0* as we have removed all this troublesome code. For 1.5.1 I suggest to replace the noopMap with the LRUCahce Map so it keeps up till 1000 files and nothing more.,non_debt
Hadrian is the current quick fix okay?,non_debt
I think we can close this issue.,non_debt
Looks like I was mixed up in my dev branch where I was using the cxf-http-underdow instead of cxf-http-jetty... no issue :),non_debt
Due to an upgrade of htmlunit and jetty versions we now get the following errors when installing the camel-linkedin feature: AND Other features install fine because they directly depend on the jetty feature.,non_debt
Karaf feature camel-linkedin fails,non_debt
Camel Servlet Web Page,non_debt
It seem to be a small issue in tab completion of Karaf command The allowed argument for this command is context but currently it auto completes the routes.,non_debt
route-reset-stats completion issue,non_debt
applied the patch into trunk and camel-1.x branch.,non_debt
Closing 2.0m1 tickets,non_debt
It's GA now so Williem could you upgrade our integration to use the GA version,non_debt
Upgrade to Spring Integration 1.0 GA,non_debt
Would be good to add it to the website build as a script in the and also so it can be run from the build to,non_debt
Not sure what is the state of the art tool for checking links these days...,non_debt
We could use: Thoughts ?,non_debt
I see that there is a maven plugin to check link and generate a report : I can try to use it to see if it make sense.,non_debt
"please do, I think it'll require a Maven project, and we don't have one in {{camel-website}}, also I'm not sure how tied that plugin is to Maven site generation. I don't wan't to discourage you, anything that gives us a failure and a list of pages and links that are broken will work.",non_debt
"Oh yes you're right, using a maven plugin is not a good idea, I will search another solution.",non_debt
We can now run the link checker via {{yarn run check}}.,non_debt
Add link checker,non_debt
"I have running a blueprint file with a camel context that has the following: This causes Camel to throw the following exception when I receive files with names of the following form: Most likely the '$' in the name is the problem. Is there any way to escape it? Thanks, Saycat",non_debt
Camel File Consumer fails when doneFileName contains '$',non_debt
transferExchange set to 'true' or 'false' doesn't affect to the JUnit test,non_debt
Incorrect transferExchange option test in camel-jms component,non_debt
Need access to metadata about charset to use for encoding etc. So while working on a clever way of getting hold on the Exchange you could also think about how to get hold of other kind of metadata for the future.,non_debt
"This is important, scoping it for 1.4 release",non_debt
"It'd be nice to be able to pass in context parameters, like Exchange or Message as another parameter to the converter. e.g. public InputStream toStream(File file, Exchange context) {....}",non_debt
Hadrian see also the chat log for yesterday. James and I had a little chat about this one. But it would really be great for Camel 1.5 to get this one. We need this especially for byte converters that need encoding configuration.,non_debt
Closing all 1.5.0 issues,non_debt
I ran into a problem where I need to move some data from a Header into the body. It would be nice to supply the exchange to the type converter o this can be done in type conversion rather than as an explicit processor,non_debt
Provide access to the Exchange in,non_debt
"Thanks for your feedback. Could you please point to the bug report or ticket you're talking about so the real rationale behind this jira ticket becomes clear to others. I guess it's about this enum: IMHO we should not restrict the API only to those three enum members NONE, XOR and Triple_Des just because the others don't work. If that's really the case it should be resolved on the jsendnsca side and we _should not_ restrict the API to only those 3 members just because the others don't work. IMHO Camel should be transparent about this. What if the Blowfish encryption gets fixed by the next jsendnsca release and we update to that version in Camel? Are we going to suddenly allow that Blowfish encryption as well and add another {{else if}} for that? And what do you think about marking enum as deprecated? Does it make sense?",non_debt
I'll do it.,non_debt
"Done. Next time I'll bring a lawyer with me, since you are _not convinced by my answers_ :-) By the way nagiosSettings doesn't have a setEncryptionMethod method anymore.",non_debt
Thanks for fixing.,non_debt
,non_debt
Camel-Nagios: Deprecate EncryptionMethod and use Encryption Enum,non_debt
I've put in changes that will dynamically insert the version number in rev 725302. Resolving this task now.,non_debt
awesome stuff! :),non_debt
Closing 2.0m1 tickets,non_debt
,non_debt
do you want to take a look at this one?,non_debt
", I'm working on CAMEL-11695 right now and will try to update the gRPC library in this work However, CAMEL-11695 will use TLS with OpenSSL library involving some native (linux, osx, windows supported) code and need to be check how it will work in OSGi environment. TLS with JDK also requires JRE based agent but not recommended for production use due to low performance.",non_debt
Fixed in CAMEL-11695,non_debt
Upgrade grpc-java to 1.6.1,non_debt
This can be done in Camel 1.5/2.0,non_debt
Closing all 1.5.0 issues,non_debt
Already done here:,non_debt
,non_debt
Deprecate Camel-Castor,non_debt
camel-itest-karaf - CamelLinkedinTest fails,non_debt
"This may require a little bit of work also on side, postponed to 2.21",non_debt
What work do you see is needed on the side?,non_debt
"The feature itself is easy but I do not remember how service discovery was done in so it may just need to be properly tested, if we have time before 2.20, we can try to make it :)",non_debt
Okay I added the feature then some end user may try it out and shout out if it does not work ;),non_debt
I'll resolve it then :),non_debt
,non_debt
camel-reactor : create karaf feature,non_debt
"Nice idea, but would be good to keep both components and backward compatible.",non_debt
"And by creating a new component you have more freedom and do not have to 100% compatible with those older components. End users may have to migrate/change something on their end, and that is expected / okay.",non_debt
"sound like a plan, and you can assign me to it if you want. I already have working branch",non_debt
Do we have the Karaf feature for this component?,non_debt
"No there is no karaf feature. You are others is welcome to work on it, it seems there is a bunch of dependencies so the feature is likely a bit big.",non_debt
Migrate java transport client to the new high level rest client,non_debt
do you think we should implement this one or use jgroups-raft,non_debt
"Hi , an implementation based on JGroups views would suffer the same limitations as the one based on JGroups Locks (i.e. not enforcing only one master in case of split brain); an implementation based on jgroups-raft would be more interesting in that regards adding a new option for the users to cope with spilt-brains situations. I'd love to implement it fi you are looking for volunteers.",non_debt
"title updated, please go ahead :)",non_debt
"I'm leaving this marked for 2.23.0, let us know if you're able to finish",non_debt
I ended up implementing the whole {{jgroups-raft}} component:,non_debt
See,non_debt
cluster service : add a cluster service based on JGroups Raft,non_debt
r727713 for trunk r727718 for 1.x,non_debt
Closing 2.0m1 tickets,non_debt
See nabble:,non_debt
Pull request by Vassilis Spiliopoulos to add Composite API support,non_debt
"Camel Salesforce component now has support for the third Composite API variant, along with Batch and Tree.",non_debt
"Camel Salesforce component supports Composite Tree and Composite Batch APIs, there is a new [sub-API called simply for executing multiple REST calls (up to 25) in a single request.",non_debt
Support Composite API,non_debt
"Since we need to deprecate this component in favor of the rest one and rename it to elasticsearch-rest, do we really need to do this? I believe we need to update the rest stuff to version 6.1.x and deprecate elasticsearch5 before the 2.21.0 release.",non_debt
Yeah lets do that,non_debt
I'm raising a new Jira for this.,non_debt
"Okay we have deprecated these components, but if there is a little bug it would still be nice to try to fix this. Anyone is welcome to help contrbute",non_debt
"This was not really intended, but I am adding support for providing from and size in the map / json string",non_debt
"Hi, I am using component of Camel 2.20.1. I have found and issue. The description follows. *If you use Map or String in message body for SEARCH operation, ""size"" and ""from"" parameters are always ignored hence you always get just default 10 results.* For example - if your map contains query like this: (in terms of simplicity - following is String representation of the map): Issue I suspect is present in class: and its method _public static SearchRequest queryObject, Exchange exchange)_ Inner if condition basically extracts only query part from the map and *""size"" and ""from"" get lost from the query* Same issue is with usage of the String in the message body: Only workaround for this is to use *SearchRequest* object in a message body where you can explicitly set ""size"" and ""from"" on SearchSourceBuilder object. For example: I don't know what was the developer's intention for having such a condition which removes these parameters from the query. Thank you very much in advance if anybody can have a look and verify if this is a valid concern.",non_debt
"- Search Operation: If Map or String is used in Message Body, ""size"" and ""from"" parameters are always ignored",non_debt
The official docs are now on Github as mentioned in the home page of site. We are working on a new website.,non_debt
Also as a workaround you can try with synchronous=true on the CXF endpoint,non_debt
"Okay so the issue is in Apache CXF where it will onTimeout that is called from Jetty or Servlet3 async API then just call resume(), see screenshot",non_debt
"The CXF Continuation API itself lacks the concept of timeout, so you cannot get that state to know there was a timeout and then fail accordingly.",non_debt
or  I wonder if you guys may have any comments on this. I added an unit test to camel-cxf named:,non_debt
Thanks Freeman,non_debt
Did you tried with newest version of Camel? 2.16.x and 2.17.x are no longer maintained and they won't have new releases.,non_debt
"Yes try with latest releases, also we have improved with a force disconnect in Camel 2.21 onwards.",non_debt
I checked the source code on git and could not find any changes regarding a disconnect in method poll() of class GenericFileConsumer before opening this issue. Updating Camel is not an option at the moment. We already tried to substitute ServiceMix 6.1.1 with the latest version of Karaf and Camel with no success.,non_debt
Thank you for the hint with the rollback. I am already using a custom poll strategy and could implement a fix for my usecase there.,non_debt
"We ran into a similar issue today on an old AX400 system where we have to up- and download files from via FTP. While we hadn't issues before (used a camel-driven client application on their system since Camel 2.14.1 (and before) with regular version updates of Camel during this period, in the early morning suddenly the same behavior as mentioned here occurred and we roughly needed half a day to fix this issue even though the AX400 server maintainer assured that he didn't change anything in regards to general server and FTP server configurations. Note that the most recent versions deployed contained Camel 2.20.1 and for testing even 2.21.0-SNAPSHOT. Our issue was caused by Camel connecting in active mode to the server by default. On analyzing the Apache FTP client log we noticed that after successfully interacting with the server after the second time listing (or the previous PORT command) the mentioned exception occurred in our logs. INFO | jvm 1 | 2018/01/29 17:51:47 | CWD tmp INFO | jvm 1 | 2018/01/29 17:51:47 | 250 Befehl CWD erfolgreich. INFO | jvm 1 | 2018/01/29 17:51:47 | CWD some_subdir INFO | jvm 1 | 2018/01/29 17:51:47 | 250 Befehl CWD erfolgreich. INFO | jvm 1 | 2018/01/29 17:51:47 | SYST INFO | jvm 1 | 2018/01/29 17:51:47 | 215 UNIX-Typ: L8 Version: BSD-44 INFO | jvm 1 | 2018/01/29 17:51:47 | PORT 1,0,0,130,196,47 INFO | jvm 1 | 2018/01/29 17:51:47 | 200 PORT-Befehl erfolgreich. INFO | jvm 1 | 2018/01/29 17:51:47 | LIST INFO | jvm 1 | 2018/01/29 17:53:02 | 425 Keine Datenverbindung Connecting to the FTP server via FileZilla worked and after studying the produced logs from FileZilla we noticed that it communicates in passiveMode which we gave a try. After adding passiveMode=true we managed to read and write files to the server again. Why the errors occurred without any interactions on our or the admins behalf is a different storry.",non_debt
"We encountered an issue downoading files from various different ftp servers. If listing the files to consume fails for whatever reason, the FTP client does not disconnect from the server, even if disconnect=true is specified in the endpoint URL. This leads to the problem, that upon the next poll, the connection ist still open and the component starts to navigate stepwise to the target folder which will fail, because we are not in the home folder of the FTP user anymore. This leads to an which will again cause the poll to fail without a disconnect. From now on, polling this endpoint will fail until restarting the containing route. Adding stepwise=false as an workaround did not work in our case because one of teh external FTP servers will return absolute paths when calling the list command, resulting in an error when trying to download the files.",non_debt
FTPConsumer - no disconnect if polling files fails,non_debt
Corrected this with,non_debt
"When a MLLP Sender (Producer) times-out waiting for the MLLP Acknowledgment message, the TCP connection should be reset. Currently, it is left open which can lead to MLLP protocol issues.",non_debt
Connection should be reset in the event of an acknowledgement timeout,non_debt
Please start a thread in the users mailing list.,non_debt
I have published this issue in the mailing list but have not heard any thing yet.,non_debt
We are seeing issues with GET's and Patch as well : A sample stack : Unexpected error \{0:null} executing,non_debt
can't figure out a fix any where in Jira or in the mailing list,non_debt
"Please do not reopen issues. You have received reply on the users mailing list here: And please do not use JIRA to ask questions, we use JIRA to track issues and it is difficult enough to use it for that without the added noise of non-issue posts. There are plenty of ways to get prompt response from Q&A sites like or by enlisting the services of [companies that offer commercial We have a helpful guide on [how to get support as that you are encouraged to read.",non_debt
Link to the exact user mailing list post:,non_debt
"Hi, We are using the sales force component and trying to write to external salesforce health cloud using the camel salesforce component. Most of the times, the data seem to flow. However abruptly I see the below errors. If I reprocess the failed one again, it would work. But looks like this keeps happening a few times. Your suggestions, thoughts would be helpful. 2018-01-30 21:06:29.399 INFO 31221  [[JPASalesForce]] : In PersonProcessor, Message received for patient MRN :: 5000307798 2018-01-30 21:06:29.401 INFO 31221  [[JPASalesForce]] salesforce-route : Message Processed in AccountProcessor! Posting RequestBody to Salesforce :: SAPLING SAPLING Zombie""} 2018-01-30 21:07:29.410 ERROR 31221  [92963-scheduler] : Failed delivery for (MessageId: on ExchangeId: Exhausted after delivery attempt: 1 caught: Unexpected error \{0:null} executing Message History RouteId ProcessorId Processor Elapsed (ms) [salesforce-route ] [salesforce-route ] ] [ 60064] [salesforce-route ] [doTry6 ] [doTry ] [ 60010] [salesforce-route ] [convertBodyTo1 ] ] [ 0] [salesforce-route ] [process21 ] ] [ 2] [salesforce-route ] [process22 ] ] [ 1] [salesforce-route ] [log35 ] [log ] [ 0] [salesforce-route ] [to8 ] [ 60007] Stacktrace Unexpected error \{0:null} executing [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] Caused by: Total timeout 60000 ms elapsed ... 8 common frames omitted 2018-01-30 21:07:29.411 WARN 31221  [[JPASalesForce]] : Execution of JMS message listener failed. Caused by: - Unexpected error \{0:null} executing Unexpected error \{0:null} executing [na:1.8.0_66] at [na:1.8.0_66] at [na:1.8.0_66] Caused by: Unexpected error \{0:null} executing ~[na:1.8.0_66] at ~[na:1.8.0_66] at ~[na:1.8.0_66] at ~[na:1.8.0_66] ... 3 common frames omitted Caused by: Total timeout 60000 ms elapsed ... 8 common frames omitted",non_debt
Intermittent time outs,non_debt
Closing 2.0m1 tickets,non_debt
To make sure the Class.forName() can get what it wants Also need to support to set the bundle activator .,non_debt
Can you tell more about how you run your application,non_debt
SpringBoot 1.5.10.RELEASE + camel-spring-boot + camel-cxf,non_debt
"Hi , Do you still have this issue now? I assume you should use JDK11 now, and please let me know if you still have this issue with latest camel+cxf. And if you still have issue, please clarify the CXF version(you should use CXF 3.3.x which has JDK 11 support) you are using and a reproducer project is more helpful. Thanks! Freeman",non_debt
I believe CXF version was related to camel-cxf (which was in version 2.20.1) Unfortunatelly I'm no longer in that project,non_debt
